id,name,category,price,cost
FBE5E6Q4S6,Black sweatshirt,Menswear,120,47
B5K8O3NA22,Navy sweatshirt,Menswear,120,47
I8RO5VPQIV,Burgundy sweatshirt,Menswear,120,47
SUSBYBGRMB,Olive sweatshirt,Menswear,115,45
DY2XGBW1QT,Grey sweatshirt,Menswear,125,49
EC1T9WA177,Black hoodie,Menswear,150,53
WP8ED8R8U4,Navy hoodie,Menswear,155,56
1KZZ8PMFB1,White zip hoodie,Menswear,160,58
8D2X9QGLQF,Sand oversized hoodie,Menswear,165,60
WNRA980XXZ,Blue hoodie,Menswear,150,53
QSCW4SWQBC,White T-Shirt,Menswear,40,12
LK5NB8UR9Y,Black T-Shirt,Menswear,39,11,5
1S7GY8JV18,Navy T-Shirt,Menswear,42,13
LVTGQBBF4L,Logo T-Shirt,Menswear,45,14
20RE1NI7XN,Striped T-Shirt,Menswear,45,14,5
29NEO5JDJT,Oxford shirt,Menswear,85,28
PQ8JXR05Z9,Linen shirt,Menswear,95,33
83N1Y7P1Q5,Flannel shirt,Menswear,90,32
ZOFDKNLVEN,Polo shirt,Menswear,70,22
Q1NB6EV307,Denim shirt,Menswear,95,35
R1GQQ0CSBL,Chino pants,Menswear,110,46
LLP7L9LQTC,Slim jeans,Menswear,120,52
PUZ9FHPM0L,Relaxed jeans,Menswear,125,55
KX2DPVZSC6,Joggers,Menswear,95,39
D9J7V1UG3B,Shorts,Menswear,75,28
50WUQDWI2V,Black sweatshirt,Womenswear,120,47
OK2HOMDWXP,Cream sweatshirt,Womenswear,118,46
BH075SYWYT,Red sweatshirt,Womenswear,125,49
KU65DK7JCX,Navy sweatshirt,Womenswear,115,45
UXS9I3EAGC,Lilac sweatshirt,Womenswear,122,48
8WVHOXLVJ2,Black hoodie,Womenswear,150,53
MI29EELZW7,Cream hoodie,Womenswear,152,54
TU089AL40Z,Ivory zip hoodie,Womenswear,158,57
V11O1XZ2MQ,Emerald oversized hoodie,Womenswear,165,60
B8OG8GFQDG,Blush hoodie,Womenswear,150,53
AU6KWT18AC,Cobalt T-Shirt,Womenswear,40,11,5
LBQKVWQEL3,Black T-Shirt,Womenswear,39,11
093KT7ZK38,Cream T-Shirt,Womenswear,42,12,5
ZKLSKKBEKZ,Logo T-Shirt,Womenswear,45,13,5
YPGT13FQ9B,Ribbed T-Shirt,Womenswear,45,14
AVGFALJGZU,Little Black Dress,Womenswear,150,67
0Z6K6Y21KR,Wrap dress,Womenswear,165,72
DVAZLH292T,Midi dress,Womenswear,170,75
UKDVICMCMI,Summer dress,Womenswear,140,58
F58Y8I60TY,Slip dress,Womenswear,155,70
ARCCMK4UZC,Gloves,Womenswear,7,99,5,99
J7DERD76U8,Socks (2-pack),Menswear,9,99,8,99
B5ZJF102L8,Socks (2-pack),Womenswear,9,49,8,49
KBG0WAZV9P,Keychain,Menswear,4,99,4,79
KBX5F1FCPW,Hair scrunchie,Womenswear,3,99,3,79
